image,name,CODE,type,brand,category,unit_code,cost,price,product_details
,ผ้าโซฟา สีม่วง,0-CP-148-8,standard,,CP,pc,1,1,ผ้าโซฟา สีม่วง
,ผ้าโซฟาสีน้ำตาล,0-CP-1488-12,standard,,CP,pc,1,1,ผ้าโซฟาสีน้ำตาล
,ผ้าโซฟาสีน้ำตาล,0-CP-1488-12Z,standard,,CP,pc,1,1,ผ้าโซฟาสีน้ำตาล
,ผ้าโซฟาสีน้ำตาล,0-CP-1488-13,standard,,CP,pc,1,1,ผ้าโซฟาสีน้ำตาล
,ผ้าโซฟาสีน้ำตาล,0-CP-1488-14,standard,,CP,pc,1,1,ผ้าโซฟาสีน้ำตาล
,ผ้าโซฟาสีน้ำตาลเข้ม,0-CP-1488-15Z,standard,,CP,pc,1,1,ผ้าโซฟาสีน้ำตาลเข้ม
,ผ้าโซฟา สีเทา,0-CP-1488-16C,standard,,CP,pc,1,1,ผ้าโซฟา สีเทา
,ผ้าโซฟา สีครีมเข้ม,0-CP-1488-2,standard,,CP,pc,1,1,ผ้าโซฟา สีครีมเข้ม
,ผ้าโซฟา สีน้ำเงิน,0-CP-1488-20,standard,,CP,pc,1,1,ผ้าโซฟา สีน้ำเงิน
,ผ้าโซฟา สีกรม,0-CP-1488-21,standard,,CP,pc,1,1,ผ้าโซฟา สีกรม
,ผ้าโซฟา สีครีม,0-CP-1488-3,standard,,CP,pc,1,1,ผ้าโซฟา สีครีม
,ผ้าโซฟา สีเทา,0-CP-1488-4,standard,,CP,pc,1,1,ผ้าโซฟา สีเทา
,ผ้าโซฟากันลามไฟ,0-CP-1488-4C(4Z),standard,,CP,pc,1,1,ผ้าโซฟากันลามไฟ
,ผ้าโซฟา สีน้ำตาล,0-CP-1488-5,standard,,CP,pc,1,1,ผ้าโซฟา สีน้ำตาล
,ผ้าโซฟา สีส้ม,0-CP-148-9,standard,,CP,pc,1,1,ผ้าโซฟา สีส้ม
,ผ้าโซฟา,0-CP-149-10C,standard,,CP,pc,1,1,ผ้าโซฟา
,ผ้าโซฟา,0-CP-149-11C,standard,,CP,pc,1,1,ผ้าโซฟา
,ผ้าโซฟา,0-CP-149-12C,standard,,CP,pc,1,1,ผ้าโซฟา
,ผ้าโซฟา,0-CP-149-13C,standard,,CP,pc,1,1,ผ้าโซฟา
,ผ้าโซฟา,0-CP-149-14C,standard,,CP,pc,1,1,ผ้าโซฟา
,ผ้าโซฟา,0-CP-149-15C,standard,,CP,pc,1,1,ผ้าโซฟา
,ผ้าโซฟา,0-CP-149-16C,standard,,CP,pc,1,1,ผ้าโซฟา
,ผ้าโซฟา,0-CP-149-16Z,standard,,CP,pc,1,1,ผ้าโซฟา
,ผ้าโซฟา,0-CP-149-17C,standard,,CP,pc,1,1,ผ้าโซฟา
,ผ้าโซฟา,0-CP-149-18C,standard,,CP,pc,1,1,ผ้าโซฟา
,ผ้าโซฟา,0-CP-149-19C ไม่ใช้,standard,,CP,pc,1,1,ผ้าโซฟา
,ผ้าโซฟา,0-CP-149-1C,standard,,CP,pc,1,1,ผ้าโซฟา
,ผ้าโซฟา,0-CP-149-20C,standard,,CP,pc,1,1,ผ้าโซฟา
,ผ้าโซฟา,0-CP-149-2C,standard,,CP,pc,1,1,ผ้าโซฟา
,ผ้าโซฟา,0-CP-149-3C,standard,,CP,pc,1,1,ผ้าโซฟา
,ผ้าโซฟา,0-CP-149-4C,standard,,CP,pc,1,1,ผ้าโซฟา
,ผ้าโซฟา,0-CP-149-5C,standard,,CP,pc,1,1,ผ้าโซฟา
,ผ้าโซฟา,0-CP-149-6C,standard,,CP,pc,1,1,ผ้าโซฟา
,ผ้าโซฟา,0-CP-149-7C,standard,,CP,pc,1,1,ผ้าโซฟา
,ผ้าโซฟา,0-CP-149-8C,standard,,CP,pc,1,1,ผ้าโซฟา
,ผ้าโซฟา,0-CP-1499-16C,standard,,CP,pc,1,1,ผ้าโซฟา
,ผ้าโซฟา,0-CP-1499-17C,standard,,CP,pc,1,1,ผ้าโซฟา
,ผ้าโซฟา,0-CP-1499-18C,standard,,CP,pc,1,1,ผ้าโซฟา
,ผ้าโซฟา,0-CP-1499-19C,standard,,CP,pc,1,1,ผ้าโซฟา
,ผ้าโซฟา,0-CP-149-9C,standard,,CP,pc,1,1,ผ้าโซฟา
,ผ้าโซฟา สีม่วง,0-CP-1500-1,standard,,CP,pc,1,1,ผ้าโซฟา สีม่วง
,ผ้าโซฟา สีแดง,0-CP-1500-10C,standard,,CP,pc,1,1,ผ้าโซฟา สีแดง
,ผ้าโซฟา สีแดงเลือดหมู,0-CP-1500-11C,standard,,CP,pc,1,1,ผ้าโซฟา สีแดงเลือดหมู
,ผ้าโซฟา สีน้ำตาล,0-CP-1500-12C,standard,,CP,pc,1,1,ผ้าโซฟา สีน้ำตาล
,ผ้าโซฟา สีเทา,0-CP-1500-14C,standard,,CP,pc,1,1,ผ้าโซฟา สีเทา
,ผ้าโซฟา สีเทา,0-CP-1500-15C,standard,,CP,pc,1,1,ผ้าโซฟา สีเทา
